lsoa,N,status
E01005238,6,outside_london
E01010061,6,outside_london
E01024450,6,outside_london
E01033264,6,outside_london
E01023732,6,outside_london
E01016589,6,outside_london
E01021463,6,outside_london
E01021805,6,outside_london
E01024392,6,outside_london
E01017194,6,outside_london
E01016448,6,outside_london
E01024649,6,outside_london
E01015936,6,outside_london
E01016310,6,outside_london
E01024118,6,outside_london
E01021821,6,outside_london
E01027130,6,outside_london
E01016049,6,outside_london
E01017032,6,outside_london
E01024482,6,outside_london
E01030702,6,outside_london
E01024591,6,outside_london
E01024774,6,outside_london
E01017943,6,outside_london
E01021836,6,outside_london
E01023091,6,outside_london
E01030726,6,outside_london
E01015962,6,outside_london
E01015282,6,outside_london
E01023290,6,outside_london
E01032977,6,outside_london
E01017487,6,outside_london
E01015792,6,outside_london
E01030673,6,outside_london
E01030382,6,outside_london
E01031656,6,outside_london
E01015934,6,outside_london
E01016908,6,outside_london
E01022046,6,outside_london
E01023568,6,outside_london
E01030566,6,outside_london
E01017805,6,outside_london
E01021861,6,outside_london
E01016069,6,outside_london
E01023430,6,outside_london
E01021277,6,outside_london
E01015861,6,outside_london
E01015917,6,outside_london
E01023881,6,outside_london
E01021831,6,outside_london
E01015961,6,outside_london
E01023858,6,outside_london
E01030651,6,outside_london
E01020911,6,outside_london
E01021448,6,outside_london
E01016137,6,outside_london
E01023664,6,outside_london
E01024745,6,outside_london
E01030980,6,outside_london
E01021289,6,outside_london
E01021447,6,outside_london
E01021310,6,outside_london
E01021493,6,outside_london
E01015734,6,outside_london
E01016023,6,outside_london
E01016842,6,outside_london
E01024276,6,outside_london
E01015749,6,outside_london
E01014157,6,outside_london
E01031610,6,outside_london
E01015784,6,outside_london
E01021091,6,outside_london
E01024434,6,outside_london
E01024417,6,outside_london
E01021864,6,outside_london
E01011349,6,outside_london
E01024393,6,outside_london
E01030816,6,outside_london
E01015294,6,outside_london
E01017983,6,outside_london
E01016714,6,outside_london
E01030358,6,outside_london
E01016062,6,outside_london
E01024597,6,outside_london
E01035319,6,outside_london
E01017255,6,outside_london
E01017800,6,outside_london
E01016964,6,outside_london
E01024615,6,outside_london
E01022027,6,outside_london
W01001320,6,outside_london
E01023929,6,outside_london
E01035328,6,outside_london
E01023388,6,outside_london
E01015937,6,outside_london
E01035274,6,outside_london
W01001904,6,outside_london
E01021537,6,outside_london
E01035158,6,outside_london
E01033027,6,outside_london
E01035578,6,outside_london
E01035345,6,outside_london
E01008921,6,outside_london
E01035277,6,outside_london
E01030342,6,outside_london
E01034022,6,outside_london
E01010623,6,outside_london
E01024319,5,outside_london
E01025789,5,outside_london
E01023743,5,outside_london
E01015965,5,outside_london
E01021467,5,outside_london
E01024174,5,outside_london
E01024438,5,outside_london
E01023847,5,outside_london
E01017687,5,outside_london
E01016894,5,outside_london
E01033342,5,outside_london
E01027155,5,outside_london
E01024767,5,outside_london
E01017522,5,outside_london
E01021803,5,outside_london
E01031400,5,outside_london
E01021786,5,outside_london
E01008437,5,outside_london
E01017814,5,outside_london
E01023726,5,outside_london
E01023834,5,outside_london
E01016523,5,outside_london
E01030314,5,outside_london
E01024838,5,outside_london
E01030997,5,outside_london
E01018367,5,outside_london
E01017761,5,outside_london
E01021775,5,outside_london
E01021828,5,outside_london
E01023613,5,outside_london
E01030619,5,outside_london
E01033300,5,outside_london
E01010833,5,outside_london
E01021365,5,outside_london
E01016972,5,outside_london
E01017589,5,outside_london
E01030373,5,outside_london
E01023529,5,outside_london
E01030023,5,outside_london
E01015736,5,outside_london
E01014254,5,outside_london
E01030834,5,outside_london
E01004868,5,outside_london
E01023352,5,outside_london
E01023492,5,outside_london
